,0,1,2,3,4,5,6,7,8,9
226_town,0.28344345,-0.60147727,1.3281685,-0.22327508,0.92813295,1.4519137,-1.2169812,1.7151644,-0.17583078,1.6879799
227_city,0.068222165,0.36562902,4.293315,-0.6141535,1.1701151,-1.0056535,-1.5487114,0.5169076,0.17195201,2.5268261
227_rural,-1.0945929,-0.6943493,-0.8108581,-0.16951069,-0.4343446,-1.755968,0.5832419,-0.5046289,-0.43334314,-1.0360684
227_town,-0.74233705,0.32131812,-0.8342695,0.58248806,-0.3721728,-1.9102519,0.48672798,-0.38822868,-0.61383146,-0.5171567
228_city,0.052417964,-1.0427033,1.149504,-0.71243787,0.3582007,0.27223602,0.38985893,-0.44173065,0.44683242,1.7271255
228_rural,0.21327458,-0.5619386,-1.005744,0.03140137,0.26210287,2.4461277,-0.5611252,0.37469056,-0.7884428,0.5566217
228_town,0.08871638,0.074904226,-0.5472223,-0.5002724,0.29071108,1.3380952,-0.9303022,-0.17912856,0.1530812,1.1637908
229_city,0.24350253,-0.8466647,-0.3463198,-1.3918648,-0.25302127,-1.6392254,1.2904996,-0.40488693,1.0089878,1.5308774
229_rural,-0.7306157,-0.37962735,-0.20820086,-1.0007424,0.981111,-1.6944417,1.4370323,0.95503044,-1.1528516,-0.41332525
229_town,-0.55538106,-0.46339446,-2.3983617,-1.370497,0.653465,-1.5556965,0.7478522,0.34044477,0.6920294,-0.25070342
22_city,0.18683137,-0.641984,0.04572209,1.1858232,-0.97540724,-0.5796463,0.6798641,-0.07694595,-0.33444643,2.3758361
22_rural,-0.30335304,0.6111296,-0.58060104,-0.05565707,0.14725727,-0.9187765,-0.10786593,0.76175505,-1.9264451,-1.3087629
22_town,0.6874221,0.07427503,-1.5893112,-0.2767711,0.3351503,0.6742796,-0.5856289,0.6157986,0.6480309,1.2820482
233_city,-0.16236693,-0.27205473,1.5230744,0.7661037,-0.30275166,-1.49501,0.021801788,0.33877346,0.11393152,0.5867933
233_rural,-0.38379267,-0.20375049,-1.4720465,0.14727533,-0.4596443,-2.3703809,1.853496,0.13289526,-0.5411596,-1.7853473
233_town,-0.26909068,-0.77994496,0.27718475,0.2409561,1.3270979,1.5582027,-1.4091334,0.5437242,1.1386317,0.977422
235_city,0.1808703,-0.90194374,0.63051385,0.018982012,-0.7882176,-0.31486467,0.45620942,-0.4496583,0.40708137,0.7995598
235_rural,0.7382602,-1.1874622,-0.65282226,-0.5400236,1.1697723,3.1393104,-0.15737674,1.5528463,0.33658078,1.4465681
235_town,-0.3011422,0.33086652,-0.5836739,-0.4813529,0.8532868,-0.4531881,-0.99987465,0.32300714,0.81670547,0.34259114
23_city,0.7819868,-0.04442609,0.29797152,-0.75486577,-0.41037357,-1.1595515,1.4222053,0.33671248,-1.2822554,2.045593
23_rural,0.0021992791,0.45280147,-1.9458358,-0.19485496,-0.34531614,-0.96740675,1.20349,0.31170276,-1.9701551,0.9807605
23_town,-0.50095934,0.5621974,-1.6348314,-0.66344273,0.59387034,-1.781389,0.39597708,0.44347715,-0.9127755,1.9591281
253_city,-0.46964163,-0.14297904,0.85997736,-0.8504391,0.22308813,-0.15731408,-0.7233594,0.07428482,-0.9800853,2.3504517
253_rural,0.64090186,0.515049,-0.4497945,-0.84333616,0.7120507,0.5881651,-0.114291586,0.6218699,-1.1641673,1.1538846
253_town,-0.51357114,0.60546535,-1.433059,-0.3921234,-0.114023425,-0.97056055,-0.7149918,0.0028655927,-1.2781229,1.2311205
254_city,0.22837852,0.124517016,0.50902414,-0.4663579,-0.028337328,0.17189133,-0.7659,0.28502423,-1.2146565,1.7587498
254_rural,0.7534943,-0.26853955,-1.520045,-0.3803955,0.563946,2.4307864,-0.5995607,0.7059257,-0.7379289,0.97860444
254_town,0.35329595,0.36770087,-0.72244805,-0.17463659,0.7045115,0.65576714,-0.79585975,0.52973706,-0.0019754653,2.2347784
255_city,-0.10355923,-0.86917716,0.22795574,-1.0263014,-0.094941564,-0.22534415,0.42416134,0.23306021,-1.2405047,2.403843
255_rural,0.43109438,-0.25031105,-1.8750852,0.34513623,-0.75318426,0.82756966,0.7622249,0.50932574,-1.5050899,0.7205762
255_town,-0.17284225,0.62585175,-0.43107548,-0.3619994,0.93284863,0.9039035,-1.2437673,0.69131184,-0.28381872,2.958374
256_city,-0.39906394,-0.25495702,1.0711329,-0.30282307,-0.3287861,-2.0435426,0.45708156,0.39662004,-1.7812837,0.91850513
256_rural,-0.45271122,0.07762751,-2.0121243,-0.54114586,-0.31688866,-0.39956027,0.67663264,-0.41811004,-1.8764522,-0.3223945
256_town,-0.7840028,0.43036357,-2.1145518,0.49189588,-0.32770613,-1.0688993,-0.47233847,0.26320928,-1.1831793,0.81935525
258_city,0.24317724,-1.5544764,1.4650072,-0.75421387,1.5642257,2.2338846,-1.0507444,1.7307705,0.4948108,4.455448
258_rural,-0.25881755,0.6242609,-0.7673324,0.06893432,-0.589827,-3.1834526,1.2205026,0.37528902,-1.3067076,-0.52850765
258_town,-0.20379578,-0.13381669,0.5857935,0.020316215,1.6254951,1.6985099,-1.7120135,1.7619631,-0.008130668,3.03719
274_city,-0.079255424,-0.19603595,0.30368513,0.40027532,-1.0463482,-1.1285597,0.45691228,0.07200025,-1.3867953,0.76117736
274_rural,-0.6227519,-0.85644615,-1.4206017,-0.04735653,0.21725816,-0.08886575,0.6317667,0.561137,-1.7346194,0.4246729
274_town,-0.22480303,0.0014274875,-1.6449707,0.39999947,-0.40733337,-0.5407315,-0.26484352,-0.1476914,-0.7155784,0.9963413
275_city,-0.379759,-0.93937004,0.33477345,-0.047493387,-0.49560446,0.19424231,-0.1588456,-0.37899974,-0.8405541,1.357797
275_rural,-0.06188225,-0.2578816,-1.6340392,0.0073911278,-0.09034902,1.3725905,-0.044866808,0.07551231,-1.471405,-0.30621108
275_town,-0.27693048,0.14445548,-1.3250769,-0.111652896,-0.02908392,0.3800623,-0.8112799,-0.34118977,-0.04848402,0.98545593
276_city,-0.27113825,-0.7950511,0.3181722,-0.107341036,-0.2642855,1.0134139,-0.37068695,-0.5173628,-1.0447636,1.5028342
276_rural,-0.24549788,-0.8222987,-1.309812,-0.36264682,-0.011921419,1.8910484,0.23026237,-0.49232733,-1.1630058,0.22732672
276_town,-0.22339346,0.25942215,-1.90789,-0.014618583,-0.009469469,0.67955,-0.849114,-0.6520828,-0.41682687,0.7630366
277_city,0.57378453,-1.2778274,-0.56976664,0.20441571,-0.27929866,2.245678,-0.4026665,-0.5172515,-0.15525375,2.3919766
277_rural,-0.5381783,-0.26884973,-2.3205974,-0.08902114,0.46596658,1.3935125,0.87708706,-1.0458468,-1.0379463,-0.11248449
277_town,0.18974663,-0.2957,-1.8346019,0.36078402,0.55175996,1.8028978,-0.7463204,0.20743749,0.45391452,2.5838602
283_city,0.22708024,-0.69414604,-0.551899,-0.13954577,-0.8113462,0.36683884,0.099901855,-0.5465651,-0.5712138,1.1662341
283_rural,-0.29070023,-0.538568,-2.2363658,-0.43805704,0.65560347,1.7407401,0.43995535,-0.69966173,-1.0248585,0.3648201
283_town,0.96769726,-1.1185597,-0.6412697,-0.6536728,1.9309968,5.7666416,-2.5003958,0.58352757,0.48712364,4.5460343
28_city,0.8804637,-1.3492755,0.12979694,0.2810784,0.7968013,4.010195,-1.2084829,0.35341495,-0.4183758,3.002554
28_rural,0.24916069,-0.73542273,-1.406648,0.5571034,0.69597197,2.136986,0.19524045,0.754817,-0.8464933,1.3856612
28_town,-1.2266036,2.2150419,-3.2162788,0.56328815,-2.6640918,-7.0063434,2.4669425,-0.42965892,-2.489062,-3.2422028
29_city,-0.17244366,-0.80951655,-0.20822416,-0.47447142,0.00152086,-0.42616707,0.43816,0.363494,-0.89082515,1.165626
29_rural,0.013021047,-0.34864727,-1.1275423,-0.08144855,0.15646039,-0.26106802,0.8416398,0.84203535,-1.390723,0.41438487
29_town,-0.9680658,0.06601155,-1.9080282,0.08744657,0.12970679,-1.0214472,0.15297724,0.2612977,-0.5987779,0.6172579
303_city,0.31542215,-1.0709583,0.8854831,-0.8959322,0.16642481,0.9405299,0.34772268,0.21320593,-0.73900586,2.3577433
303_rural,0.20155448,0.16193007,-1.5218661,-0.30534342,-0.2774451,-0.09034838,1.2921638,-0.27697977,-1.5722804,0.399399
303_town,-0.2688168,0.10080063,-1.1105186,-0.5575855,0.60471153,0.2532722,-0.506356,-0.016168864,0.058043364,1.9912267
308_city,-0.39692038,-1.3101254,0.120444246,-1.309459,-0.08578603,-0.165116,0.2888574,-0.86636966,0.30537087,1.6904771
308_rural,0.00016178121,-0.42174873,-1.4595734,-1.3824855,0.3068255,0.2969815,1.2723967,0.13425477,-0.90249395,-0.23237316
308_town,-1.0562259,-0.14088336,-1.5307971,-0.9124003,0.6178607,-0.14987679,-0.62338346,-0.49952325,0.11628681,1.0001693
313_city,-0.0031942113,-0.74167824,0.27535793,-0.8549875,-0.35573208,0.2116881,0.46520233,-0.6334609,-0.3360451,1.2415426
313_rural,0.45196307,-0.41886303,-1.3421104,-1.2770945,0.7128051,1.8019981,0.60381025,0.36996606,-0.71860766,0.75025463
313_town,-0.4481272,0.8655566,-0.86142325,-0.9557291,0.78557223,0.16635971,-1.0358447,0.020738445,-0.24794795,1.2549981
315_city,-0.20176254,-0.6326418,0.5590447,-0.8871897,-0.19061297,0.59230417,0.029533284,-0.67768174,-1.0399915,2.2348735
315_rural,-0.68473774,-0.20937409,-1.1890568,-1.2536885,0.29378217,-0.7705,1.1202879,-0.54086995,-1.365108,-0.7670242
