,0,1,2,3,4,5,6,7,8,9
218_town,2.1529908,-0.6558252,0.05696624,0.44100198,2.707227,-0.9900854,-0.73427474,-1.000707,-0.40144497,-1.3394634
223_city,-2.9681184,3.375348,2.4326959,-0.36480853,-1.1191586,2.0360224,3.6024187,0.025231106,2.3440213,-0.48179415
223_rural,-1.8597605,3.6792717,2.321727,-0.9406448,-1.5130321,2.6688263,3.0843241,1.9519345,0.6825871,-2.0280483
223_town,-1.6530935,3.2018402,1.0962297,-0.9828819,1.3866326,1.273664,2.1363208,-1.0304602,2.054503,-0.86207306
224_city,-1.5468074,1.5348793,2.311695,-0.6655852,-2.0692074,0.8491341,1.7879105,1.1387128,2.7514162,-0.21325316
224_rural,0.02253243,1.4981514,1.8547868,-0.26194006,1.9470625,0.63821465,2.4575322,-0.15893222,1.3120204,-2.262855
224_town,0.45290053,1.8182366,0.26693612,-0.64258164,2.7949088,-0.27838567,0.39821497,-1.6793973,1.7272421,-1.6777577
225_city,-9.179042,9.14006,2.7730484,-0.67595553,-2.8919842,5.697383,7.713839,2.6071742,3.8568385,-0.29986188
226_city,1.1855948,-3.202615,0.5447186,-3.7259576,-6.8357043,-1.5077678,-5.7064652,6.8303137,0.553088,-0.71009374
226_rural,1.3316206,-1.5174801,0.8374008,-2.2407484,-3.6038618,-1.1708419,-4.348471,4.4701605,-0.26880193,-1.2015175
226_town,4.4458914,-1.8491194,0.71570987,-0.26416302,1.9816827,-2.401505,-3.5703146,-1.1955836,-1.6382937,-0.9432967
227_city,2.0257022,-3.3723438,0.17971295,-3.0569715,-4.857467,-2.0008767,-5.4044933,3.8929656,0.26379615,-1.2096615
227_rural,-4.09128,3.434933,1.8011883,-0.49011132,-2.6193259,2.1079419,3.044293,2.2810946,2.1378314,-1.1260878
227_town,-2.9640732,2.8434184,1.1845902,-0.5318121,-0.80936146,1.783816,1.7496959,1.7902067,1.6155627,-0.8388394
228_city,1.0801562,-1.0543265,0.691132,-1.2681819,-0.17287534,-0.03639484,-0.9789452,-1.4473805,-0.29594183,-0.13462321
228_rural,3.9893029,-0.37549523,0.093376294,0.11093472,4.7452974,-0.33861685,-1.009986,-4.733588,-2.5092204,-1.6170671
228_town,1.66555,0.21483697,-0.3974031,-0.129178,3.1615531,-0.7114098,-0.04096057,-3.304133,-0.69687164,-0.7518536
229_city,-1.8160368,0.33477178,1.3602263,-2.1848683,-0.98846686,0.12194288,2.6372592,1.0446904,0.25839275,0.75981563
229_rural,-0.025007004,0.2232686,-0.56485313,-1.4035827,0.86090916,0.9365198,3.0113473,0.7390352,0.79004127,-0.7019105
229_town,-1.8234788,2.562993,-0.026837787,-1.5975095,0.05871301,0.07306622,1.7178036,-0.37217087,1.6587178,1.0132538
22_city,2.8718548,-1.9536159,1.2725819,-2.075828,0.17971528,-0.82494557,-1.5965656,-0.50296956,-1.8451824,-0.3950262
22_rural,2.9168496,0.08417478,-0.5391839,0.7332317,3.9493942,0.65350384,2.108649,-1.5692917,-2.0943122,-0.6998154
22_town,0.12582543,2.4679008,0.05890927,1.48444,3.1141183,-0.46532282,-0.7734413,-2.4563937,-0.8578706,0.30027187
233_city,-1.1730025,-0.74917024,1.5300173,-1.2167401,-2.4089682,-0.26117072,-1.335356,2.3082829,1.3140192,-0.47495517
233_rural,-4.236811,2.8356826,1.3362304,-1.1440485,-0.08967502,2.2935147,3.1273932,2.8321915,1.4507706,-1.0194762
233_town,3.6094556,-3.4354885,-0.6741329,-0.7605201,3.6918628,-1.570921,-3.0354352,-1.5357151,-0.6336318,-1.6010684
235_city,0.2832348,0.10515671,1.9629388,-0.97832257,0.12261415,0.45263094,1.4801784,-1.0087796,0.58913183,0.073796794
